ID,Distance,Elevation
1,0,24.93907606728731
2,0.4720279174759295,25.122897114518832
3,0.944055834951859,25.31570639629837
4,1.4160837524277883,25.50822009261985
5,1.888111669903718,25.69475671624656
6,2.3601395873796474,25.87531626737961
7,2.8321675048555766,26.049898745638515
8,3.3041954223315058,26.17558683823716
9,3.776223339807436,26.27940377228186
10,4.248251257283365,26.36137215350152
11,4.720279174759295,26.435159624437375
12,5.1923070922352235,26.50099566902529
13,5.664335009711153,26.56522953533225
14,6.136362927187083,26.639583125302664
15,6.6083908446630115,26.724123467324027
16,7.080418762138942,26.818850561497072
17,7.552446679614872,26.93957514233645
18,8.024474597090801,27.119125498798535
19,8.49650251456673,27.307615381090894
20,8.968530432042659,27.48093725603047
21,9.44055834951859,27.62846504904292
22,9.912586266994518,27.76505280828572
23,10.384614184470447,27.94042428232133
24,10.856642101946377,28.15514411072543
25,11.328670019422306,28.40921229368518
26,11.800697936898235,28.70262883143188
27,12.272725854374166,28.96851833134255
28,12.744753771850094,29.182674163693044
29,13.216781689326023,29.34890506817593
30,13.688809606801954,29.502788396894008
31,14.160837524277884,29.644324150006756
32,14.632865441753815,29.71390576365338
33,15.104893359229743,29.777806575936545
34,15.576921276705672,29.838045545003403
35,16.048949194181603,29.894622670701494
36,16.52097711165753,29.94842823486994
37,16.99300502913346,30.00218186042854
38,17.46503294660939,30.04964279496965
39,17.937060864085318,30.10220215247411
40,18.40908878156125,30.16076884662735
41,18.88111669903718,30.25635395103117
42,19.353144616513106,30.4102569265529
43,19.825172533989036,30.593257204655217
44,20.297200451464967,30.805354784945386
45,20.769228368940894,31.04654966786014
46,21.241256286416824,31.30842563939231
47,21.713284203892755,31.553831065021345
48,22.185312121368682,31.78687328132586
49,22.657340038844612,32.018100950815835
50,23.129367956320543,32.24751407374814
51,23.60139587379647,32.39617595825752
52,24.0734237912724,32.53712864784125
53,24.54545170874833,32.6731837334788
54,25.017479626224258,32.804341215285675
55,25.48950754370019,32.94338725586541
56,25.96153546117612,33.12569372645302
57,26.433563378652046,33.30856365073352
58,26.905591296127977,33.48980652711454
59,27.377619213603907,33.66942235577466
60,27.84964713107984,33.824275478838004
61,28.32167504855577,33.95787033145312
62,28.7937029660317,34.099716677217316
63,29.26573088350763,34.24981451585504
64,29.737758800983556,34.40816384748074
65,30.209786718459487,34.528239781539575
66,30.681814635935417,34.61148860261519
67,31.153842553411344,34.68871550302437
68,31.625870470887275,34.76414063120547
69,32.097898388363205,34.83776398700572
70,32.56992630583913,34.92327589489285
71,33.04195422331506,35.00853264403898
72,33.51398214079099,35.09299258724273
73,33.98601005826692,35.17665572459812
74,34.45803797574285,35.25435179940948
75,34.93006589321878,35.31034141464798
76,35.40209381069471,35.36082240713266
77,35.874121728170635,35.40872368286115
78,36.34614964564657,35.454045241716265
79,36.8181775631225,35.492241234703656
80,37.29020548059842,35.52297323285017
81,37.76223339807436,35.551792176792745
82,38.234261315550285,35.57869806657548
83,38.70628923302621,35.60369090210961
84,39.178317150502146,35.66248184947973
85,39.65034506797807,35.75855248534209
86,40.122372985454,35.86388489603727
87,40.594400902929934,35.97847908164388
88,41.06642882040586,36.10233504229607
89,41.53845673788179,36.308760105755034
90,42.01048465535772,36.53019383856285
91,42.48251257283365,36.7633351478146
92,42.954540490309576,37.008184033059976
93,43.42656840778551,37.29697194548859
94,43.89859632526144,37.72466547494933
95,44.370624242737364,38.136766083894386
96,44.8426521602133,38.5266504360983
97,45.314680077689225,38.89431853075518
98,45.78670799516515,39.14763866026308
99,46.258735912641086,39.279188644973964
100,46.73076383011701,39.40395643487952
101,47.20279174759294,39.52194203012304
102,47.674819665068874,39.63314543079044
103,48.1468475825448,39.7959760651553
104,48.61887550002073,39.99523647119371
105,49.09090341749666,40.187313107643575
106,49.56293133497259,40.372205974210786
107,50.034959252448516,40.54991507102671
108,50.50698716992445,40.72101044505042
109,50.97901508740038,40.904898588796485
110,51.451043004876304,41.10204248176681
111,51.92307092235224,41.312442124189715
112,52.395098839828165,41.52631854370874
113,52.86712675730409,41.70364420950194
114,53.339154674780026,41.865271051666156
115,53.81118259225595,42.01098646798351
116,54.28321050973188,42.14079045860123
117,54.755238427207814,42.35365014326517
118,55.22726634468375,42.68586443350506
119,55.69929426215968,43.021698900955506
120,56.17132217963561,43.361153544929564
121,56.64335009711154,43.70422836579914
122,57.11537801458747,43.951338445480815
123,57.5874059320634,44.15264465740588
124,58.059433849539325,44.350599037891556
125,58.53146176701526,44.545201587083845
126,59.003489684491186,44.736452304652225
127,59.47551760196711,44.94333748554333
128,59.94754551944305,45.18343457772711
129,60.419573436918974,45.456648923657035
130,60.8916013543949,45.762980523712315
131,61.363629271870835,46.06164662635631
132,61.83565718934676,46.22066049107972
133,62.30768510682269,46.37686213023892
134,62.77971302429862,46.530251543585905
135,63.25174094177455,46.680828731230875
136,63.72376885925048,46.830084997215494
137,64.19579677672641,46.979871827395854
138,64.66782469420234,47.12890180345734
139,65.13985261167826,47.277174925563806
140,65.61188052915419,47.42469119341428
141,66.08390844663012,47.56677032680065
142,66.55593636410606,47.69678967833276
143,67.02796428158199,47.81945430768549
144,67.49999219905791,47.93476421500013
145,67.97202011653384,48.04271940034117
146,68.44404803400977,48.19731880754438
147,68.9160759514857,48.379179296878995
148,69.38810386896164,48.58596350269902
149,69.86013178643756,48.81767142521171
150,70.33215970391349,49.084477097018215
151,70.80418762138942,49.39946771695371
152,71.27621553886534,49.6861395791867
153,71.74824345634127,49.94449268390531
154,72.22027137381721,50.17452703064984
